"slug";"name";"family";"subFamily";"primaryApplication";"primaryConfidence";"secondaryApplication";"secondaryConfidence";"status";"primaryRationale";"secondaryRationale";"recordUrl"
"arneo";"ArNeo";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"ArNeo is explicitly a fluorescent warp knit fabric for safety jackets, certified to EN ISO 20471, directly matching the hi-vis application.";"";"/ariteks/fabrics/arneo/data/fabric-complete-record.json"
"arneo-pro";"ArNeo Pro";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"Explicitly certified to EN ISO 20471 and marketed as a fluorescent knit fabric for high-visibility safety jackets, which is the fabric's clearest and most central commercial use.";"";"/ariteks/fabrics/arneo-pro/data/fabric-complete-record.json"
"arneo-flame-static-pro";"ArNeo Flame + Static Pro";"ArNeo";"arneo";"hivis";"97";"";"0";"resolved";"Product is explicitly a certified high-visibility warp knit fabric for safety jackets under EN ISO 20471, positioned as the core commercial use.";"";"/ariteks/fabrics/arneo-flame-static-pro/data/fabric-complete-record.json"
"arneo-eco-r400";"ArNeo Eco +R400";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"The fabric is explicitly a certified EN ISO 20471 high-visibility warp knit designed for safety jackets, with laminated reflective strips, directly matching the hivis application.";"";"/ariteks/fabrics/arneo-eco-r400/data/fabric-complete-record.json"
"arneo-color";"ArNeo Color";"ArNeo";"arneo";"hivis";"95";"";"0";"resolved";"Explicitly categorized as a hi-vis warp knit fabric for safety jackets certified to EN ISO 20471, with jacket application imagery confirming direct high-visibility safety apparel use.";"";"/ariteks/fabrics/arneo-color/data/fabric-complete-record.json"
"arneo-file";"ArNeo File";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"Explicitly described and certified as a fluorescent high-visibility mesh fabric for safety jackets under EN ISO 20471, directly matching the hivis application.";"";"/ariteks/fabrics/arneo-file/data/fabric-complete-record.json"
"arneo-color-file";"ArNeo Color File";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"The fabric is explicitly categorized and marketed as a hi-vis warp knit mesh for safety jackets with reflective strips, directly matching the high-visibility apparel application.";"";"/ariteks/fabrics/arneo-color-file/data/fabric-complete-record.json"
"arneo-dirt-pro";"ArNeo Dirt Pro";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"Explicitly a certified EN ISO 20471 high-visibility warp knit fabric for safety jackets, directly matching the hi-vis application.";"";"/ariteks/fabrics/arneo-dirt-pro/data/fabric-complete-record.json"
"arneo-supereco";"ArNeo Super Eco";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"Explicitly certified to EN ISO 20471 and marketed as an economical high-visibility safety jacket fabric for warning clothing, matching the hivis application directly.";"";"/ariteks/fabrics/arneo-supereco/data/fabric-complete-record.json"
"arneo-supereco-r50";"ArNeo Super Eco +R50";"ArNeo";"arneo";"hivis";"98";"";"0";"resolved";"Explicitly categorized and marketed as a fluorescent high-visibility safety jacket fabric with laminated brilliant strips, targeting construction and mining workers, directly matching hi-vis apparel.";"";"/ariteks/fabrics/arneo-supereco-r50/data/fabric-complete-record.json"
