"slug";"name";"family";"subFamily";"categoryId";"status";"applications";"confidences";"evidence";"possibleExtraApplications";"recordLoaded";"recordUrl"
"arneo";"ArNeo";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Yellow-Orange Safety Jacket EN 20471, Yellow Safety Jacket EN 20471";"";"true";"/ariteks/fabrics/arneo/data/fabric-complete-record.json"
"arneo-pro";"ArNeo Pro";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Yellow/Orange/Red Flame Retardant Safety Jacket EN 20471";"transport";"true";"/ariteks/fabrics/arneo-pro/data/fabric-complete-record.json"
"arneo-flame-static-pro";"ArNeo Flame + Static Pro";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Flame Retardant Antistatic Safety Jacket EN 20471";"energy | transport";"true";"/ariteks/fabrics/arneo-flame-static-pro/data/fabric-complete-record.json"
"arneo-eco-r400";"ArNeo Eco +R400";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / High Visible Fabric Laminated with Reflective Strips for Safety Jacket Fabric / Application | Safety Jacket / applicationImageLabels: Yellow/Orange/Red Safety Jacket EN 20471";"";"true";"/ariteks/fabrics/arneo-eco-r400/data/fabric-complete-record.json"
"arneo-color";"ArNeo Color";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / EN ISO 20471 norm / Fabric for Safety Jackets Non Neon Colors / Application | Jacket / applicationImageLabels: Dark Navy Safety Jacket, Yellow-Navy Safety Jacket, Red Navy Safety Jacket";"";"true";"/ariteks/fabrics/arneo-color/data/fabric-complete-record.json"
"arneo-file";"ArNeo File";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: High Visible Mesh Fabric for Safety Jacket / EN ISO 20471 certified / Application | Safety Jacket / categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets / Yellow-Navy Mesh Safety Jacket";"";"true";"/ariteks/fabrics/arneo-file/data/fabric-complete-record.json"
"arneo-color-file";"ArNeo Color File";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / titleDescriptor: Mesh Fabric for Safety Jackets Non Neon Colors / Application | Safety Jacket / applicationImageLabels: Dark Navy Safety Jacket, Yellow-Navy Safety Jacket, Red Navy Safety Jacket";"";"true";"/ariteks/fabrics/arneo-color-file/data/fabric-complete-record.json"
"arneo-dirt-pro";"ArNeo Dirt Pro";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / EN ISO 20471 certified / Application | Safety Jacket / applicationImageLabels: Yellow/Red Water and Oil Repellent Safety Jacket EN 20471";"";"true";"/ariteks/fabrics/arneo-dirt-pro/data/fabric-complete-record.json"
"arneo-supereco";"ArNeo Super Eco";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / norms: EN ISO 20471 / Application | Safety Jacket / Designed for construction and mining workers. / applicationImageLabels: Economical High Visible Yellow/Orange Safety Jacket";"";"true";"/ariteks/fabrics/arneo-supereco/data/fabric-complete-record.json"
"arneo-supereco-r50";"ArNeo Super Eco +R50";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:98";"hivis: categoryId: hi-vis / High Visible Warp Knit Fabrics for Safety Jackets / Designed for construction and mining workers. / Application | Safety Jacket / applicationImageLabels: Economical High Visible Yellow/Orange Safety Jacket";"";"true";"/ariteks/fabrics/arneo-supereco-r50/data/fabric-complete-record.json"
"arneo-light";"ArNeo Light";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / titleDescriptor: Economical Safety Jacket Fabric / applicationImageLabels: Economical High Visible Yellow Safety Jacket / technicalParameters Application: Safety Jacket";"military";"true";"/ariteks/fabrics/arneo-light/data/fabric-complete-record.json"
"arneo-light-r50";"ArNeo Light + R50";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / Application | Safety Jacket / Designed for construction and mining workwear applications. / Economical High Visible Yellow Safety Jacket / High Visible Knit Fabric";"energy";"true";"/ariteks/fabrics/arneo-light-r50/data/fabric-complete-record.json"
"arneo-light-r400";"ArNeo Light +R400";"ArNeo";"arneo";"hi-vis";"matched-with-review";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / Designed for construction and mining workwear applications. / 5 cm EN 20471 certified reflective strips / Application | Safety Jacket / applicationImageLabels: Economical High Visible Yellow Safety Jacket";"transport";"true";"/ariteks/fabrics/arneo-light-r400/data/fabric-complete-record.json"
"arneo-color-light";"ArNeo Color Light";"ArNeo";"arneo";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:97";"hivis: categoryId: hi-vis / familyDescriptorEn: Fluorescent hi-vis knits for safety wear / It used as bias fabric for safety jackets. / applicationImageLabels: Bias for safety jackets";"";"true";"/ariteks/fabrics/arneo-color-light/data/fabric-complete-record.json"
"arshirt-neo";"ArShirt Neo";"ArShirt";"arshirt-arsuprem";"hi-vis";"matched";"Odzież ostrzegawcza hi-vis [hivis]";"hivis:95";"hivis: categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets / properties: hi-vis / applicationImageLabels: %100 Cotton Hivis T-Shirt, Fluorescent Yellow/Orange T Shirt";"";"true";"/ariteks/fabrics/arshirt-neo/data/fabric-complete-record.json"
