"slug";"name";"primaryApplication";"primaryConfidence";"secondaryApplication";"secondaryConfidence";"reviewReason";"alternativesConsidered";"primaryEvidence";"secondaryEvidence";"recordUrl"
"arshirt-static-pro";"ArShirt Static Pro";"workwear-industrial";"62";"";"0";"Category metadata labels this as a hi-vis warp knit fabric for safety jackets, conflicting with the antistatic ESD workwear focus of the actual product description; human review recommended to confirm whether hi-vis should be a secondary or the category label is a data artifact.";"energy: Application image label 'Antisatic T-Shirt for Gas Stations' hints at energy-adjacent use, but taxonomy requires explicit electric-arc, high-voltage or EMI shielding context; antistatic property alone is explicitly excluded (rule 8). || hivis: Category source group mentions hi-vis warp knit for safety jackets, but no fluorescent color, EN ISO 20471 certification, or explicit high-visibility warning use is stated in the product descriptions or specs, only antistatic ESD certification. || welding: No explicit welding, foundry, or molten-metal splash use stated; only generic antistatic cotton/carbon composition.";"Antistatic ESD pique workwear knit fabric || Application | Antisatic ESD Shirt || EN 1149 / EN 61340 ESD certification || Suitable for antistatic ESD applications, certified for EN ISO 1149";"";"/ariteks/fabrics/arshirt-static-pro/data/fabric-complete-record.json"
"arshirt-moda-pro";"ArShirt Moda Pro";"hivis";"92";"";"0";"Description names three distinct hazard-based user groups (welders, electrical workers, firefighters) with overlapping FR/arc/antistatic certifications, making the single secondary application choice somewhat ambiguous.";"welding: Welders are named as users but no molten-metal splash or foundry-specific evidence is given beyond generic FR/arc protection shared with electrical work; energy sector evidence is more specific via EN 61482 arc-flash class. || firefighting: Firefighters are mentioned as users but the product lacks EN 469 turnout gear certification or structural firefighting framing typical of dedicated firefighting fabrics. || military: No military, police or tactical use stated. || workwear-industrial: A more specific named sector (hivis) dominates the product positioning.";"categoryId: hi-vis || EN ISO 20471 certified || High Visibility | Done | EN ISO 20471 || categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets";"";"/ariteks/fabrics/arshirt-moda-pro/data/fabric-complete-record.json"
"arsuprem";"ArSuprem";"workwear-industrial";"55";"";"0";"Category placement (hi-vis warp knit for safety jackets) conflicts with the product's own description as a workwear T-shirt fabric with no fluorescent/reflective properties stated, creating ambiguity between hivis and workwear-industrial as primary.";"hivis: Category source group references hi-vis warp knit for safety jackets, but the product itself is a plain vat-dyed cotton jersey with no fluorescent color, EN ISO 20471 or reflective element stated; application image label is 'High Fastness T-Shirt', suggesting it's a base-layer/T-shirt fabric rather than a certified hi-vis garment fabric. || sport: UV protection and jersey knit are present but no explicit sport or athletic use is stated.";"Application | Workwear || Vat dyed ArSuprem products can be used in the most hard working conditions || 100% cotton single jersey workwear knit fabric";"";"/ariteks/fabrics/arsuprem/data/fabric-complete-record.json"
"arsuprem-static-pro";"ArSuprem Static Pro";"workwear-industrial";"62";"";"0";"Category metadata (hi-vis warp knit safety jacket group) conflicts with the product's actual jersey knit structure and ESD-focused description, creating ambiguity about whether hi-vis certification is truly intended; human review recommended to confirm correct primary classification.";"hivis: Category and source group labels reference hi-vis warp knit safety jackets, but the actual structure is a jersey knit and no certified high-visibility standard (e.g., EN ISO 20471) or fluorescent colour is stated; evidence instead centers on ESD/antistatic use, so hivis is not clearly supported as the dominant use. || energy: Antistatic and ESD certification (EN 1149, EN 61340) alone do not establish an explicit electrical-utility or high-voltage application per rule 8/exclusion guidance. || medical: No explicit medical or healthcare use stated; antistatic property alone is insufficient.";"Application | Antisatic ESD Shirt || Suitable for antistatic ESD application, certified for EN ISO 1149 || norms: EN 1149, EN 61340, OEKO-TEX 100 || familyDescriptorEn: Antistatic workwear";"";"/ariteks/fabrics/arsuprem-static-pro/data/fabric-complete-record.json"
"arsuprem-moda-pro";"ArSuprem Moda Pro";"hivis";"92";"welding";"75";"The description lists three distinct professional user groups (welders, electrical workers, firefighters) making the secondary application choice ambiguous; welding was selected but energy or firefighting are also defensible secondary candidates.";"energy: Electrical workers and antistatic/arc-flash properties are mentioned, but this overlaps heavily with the welding evidence and only one secondary can be selected; welding is named first and more specific to the metal-processing hazard context. || firefighting: Firefighters are mentioned as users, but this appears alongside welders and electrical workers as a general list rather than a dominant firefighting-specific product framing; flame retardancy alone is insufficient per rule 9.";"categoryId: hi-vis || categorySourceGroup: High Visible Warp Knit Fabrics for Safety Jackets || EN ISO 20471 certified || High Visibility | Done | EN ISO 20471";"ArSuprem Moda Pro fabric are mostly used by welders, electrical workers and firefighters. || EN 61482 arc flash protection class 1 (4 kA) || ATPV > 7 cal/cm²";"/ariteks/fabrics/arsuprem-moda-pro/data/fabric-complete-record.json"
"arbir-su-itici";"ArBir Su İtici";"hivis";"93";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: Chemical resistance (EN 13034) suggests protective workwear, but the fabric's dominant stated use is hi-vis jackets/raincoats, not general industrial workwear. || military: No explicit military or police use stated. || transport: No explicit vehicle or transport-sector use stated.";"EN ISO 20471 certified || Application image labels: Orange Safety Jacket EN 20471, Yellow Safety Jacket EN 20471 || properties: hi-vis || High Visibility | Done | EN ISO 20471";"";"/ariteks/fabrics/arbir-su-itici/data/fabric-complete-record.json"
"arbir-su-itici-su-gecirmez";"ArBir Su İtici/Su Geçirmez";"hivis";"90";"";"0";"Secondary candidate did not pass confidence threshold 70.";"workwear-industrial: Chemical resistance (EN 13034) suggests industrial protective use, but no explicit general workwear framing dominates over the more specific hi-vis and raincoat uses. || transport: No explicit vehicle or vessel use stated; waterproof outerwear alone does not imply transport. || energy: No explicit electrical/utility sector use stated; only generic chemical resistance property present.";"EN ISO 20471 certified || Property: hi-vis || applicationImageLabels: Orange Safety Jacket EN 20471 || High Visibility | Done | EN ISO 20471";"";"/ariteks/fabrics/arbir-su-itici-su-gecirmez/data/fabric-complete-record.json"
"arbir-200";"ArBir 200";"hivis";"96";"";"0";"Secondary candidate did not pass confidence threshold 70.";"welding: EN 13034 chemical protection present but no explicit welding or metallurgy use stated. || transport: No explicit vehicle or transport-worker use stated beyond generic safety clothing. || workwear-industrial: Product is specifically positioned as certified hi-vis safety clothing rather than generic industrial workwear.";"EN ISO 20471 certified. || High Visibility | Done | EN ISO 20471 || specLine: High Visible, Woven Like Knit Fabric || Neon dyed fabrics...they shine more than other objects || Application | Raincoat, Jacket, Parka";"";"/ariteks/fabrics/arbir-200/data/fabric-complete-record.json"
"arwowear-t20-static-pro";"ArWoWear T20 Static Pro Pro";"workwear-industrial";"70";"";"0";"Primary application retained, but confidence 70 is below review threshold 80.";"welding: No explicit welding, foundry or metal-splash use stated; only antistatic/FR-adjacent properties are present. || hivis: No fluorescent color or EN ISO 20471 certification stated. || medical: No medical or healthcare use mentioned.";"Application | Coveralls || Antistatic workwear fabric || 260 g/m², 79% Cotton 20% Polyester 1% Carbon, Antistatic, 3/1S Twill Fabric";"";"/ariteks/fabrics/arwowear-t20-static-pro/data/fabric-complete-record.json"
"arwowear-t11-static-pro";"ArWoWear T11 Static Pro";"workwear-industrial";"65";"";"0";"Primary application retained, but confidence 65 is below review threshold 80.";"welding: No explicit welding, foundry or molten metal use stated; only antistatic FR-adjacent properties are mentioned. || transport: No vehicle, rail or transport-specific use is stated in the source.";"Application | Coveralls || categorySourceGroup: Antistatic Twill Workwear Fabrics || suitable to use on electronic industry where static electric formation is a problem";"";"/ariteks/fabrics/arwowear-t11-static-pro/data/fabric-complete-record.json"
